gencode_id,gene_name,refseq_id
ENST00000469391,DOCK8,NM_001193536
ENST00000432829,DOCK8,NM_203447
ENST00000373624,DENND1A,NM_020946
ENST00000373620,DENND1A,NM_024820
ENST00000424526,GREB1L,NM_001142966
ENST00000299340,CYYR1,NM_052954
ENST00000371001,SYCP2,NM_014258
ENST00000267845,HDC,NM_002112
ENST00000390680,TPTE2,NM_130785
ENST00000400103,TPTE2,NM_001141968
ENST00000382977,TPTE2,NM_199254
ENST00000380324,USP3,NM_006537
ENST00000540797,USP3,NM_001256702
ENST00000535628,ZBTB7C,NM_001039360
ENST00000284984,ADAMTS1,NM_006988
ENST00000373615,LHX2,NM_004789
ENST00000284987,ADAMTS5,NM_007038
ENST00000361479,MPHOSPH8,NM_017520
ENST00000314992,EXD1,NM_152596
ENST00000458580,EXD1,NM_001286441
ENST00000303775,N6AMT1,NM_013240
ENST00000351429,N6AMT1,NM_182749
ENST00000360468,MAN2A2,NM_006122
ENST00000382303,KANK1,NM_001256876
ENST00000382297,KANK1,NM_001256877
ENST00000382297,KANK1,NM_015158
ENST00000382293,KANK1,NM_153186
ENST00000338910,PSPC1,NM_001042414
ENST00000373600,NEK6,NM_001145001
ENST00000320246,NEK6,NM_014397
ENST00000540326,NEK6,NM_001166167
ENST00000539416,NEK6,NM_001166169
ENST00000394199,NEK6,NM_001166171
ENST00000545174,NEK6,NM_001166168
ENST00000546191,NEK6,NM_001166170
ENST00000382276,DMRT1,NM_021951
ENST00000380877,GABPB1,NM_005254
ENST00000380877,GABPB1,NM_016654
ENST00000429662,GABPB1,NM_002041
ENST00000396464,GABPB1,NM_016655
ENST00000359031,GABPB1,NM_181427
ENST00000314520,MKRN3,NM_005664
ENST00000256413,CTIF,NM_014772
ENST00000382998,CTIF,NM_001142397
ENST00000190165,DMRT3,NM_021240
ENST00000382907,ZMYM5,NM_001039649
ENST00000382905,ZMYM5,NM_001039650
ENST00000337963,ZMYM5,NM_001142684
ENST00000249053,IGLL1,NM_152855
ENST00000330377,IGLL1,NM_020070
ENST00000389194,LTN1,NM_015565
ENST00000532292,MAGEL2,NM_019066
ENST00000331837,NDN,NM_002487
ENST00000255152,ZSWIM3,NM_080752
ENST00000259457,PSMB7,NM_002799
ENST00000329468,NPAP1,NM_018958
ENST00000382255,DMRT2,NM_001130865
ENST00000382255,DMRT2,NM_006557
ENST00000302441,DMRT2,NM_181872
ENST00000372523,ZSWIM1,NM_080603
ENST00000423479,CTCFL,NM_001269043
ENST00000608263,CTCFL,NM_001269041
ENST00000609232,CTCFL,NM_080618
ENST00000429804,CTCFL,NM_001269046
ENST00000371196,CTCFL,NM_001269042
ENST00000371196,CTCFL,NM_001269040
ENST00000608440,CTCFL,NM_001269044
ENST00000502686,CTCFL,NM_001269054
ENST00000433949,CTCFL,NM_001269049
ENST00000432255,CTCFL,NM_001269048
ENST00000539382,CTCFL,NM_001269050
ENST00000608903,CTCFL,NM_001269055
ENST00000422869,CTCFL,NM_001269047
ENST00000608425,CTCFL,NM_001269045
ENST00000608158,CTCFL,NM_001269052
ENST00000481655,CTCFL,NM_001269051
ENST00000334660,CHP1,NM_007236
ENST00000372519,SPATA25,NM_080608
ENST00000372518,NEURL2,NM_001278535
ENST00000372518,NEURL2,NM_080749
ENST00000334810,GPR144,NM_001161808
ENST00000220514,OIP5,NM_007280
ENST00000317749,C22orf43,NM_016449
ENST00000493196,RWDD2B,NM_016940
ENST00000373588,NR5A1,NM_004959
ENST00000262158,SMAD7,NM_001190821
ENST00000262158,SMAD7,NM_005904
ENST00000591805,SMAD7,NM_001190822
ENST00000358293,FAM217B,NM_001190826
ENST00000360816,FAM217B,NM_001190827
ENST00000360816,FAM217B,NM_022106
ENST00000380393,PTPRA,NM_002836
ENST00000216877,PTPRA,NM_080840
ENST00000356147,PTPRA,NM_080841
ENST00000370996,PPP1R3D,NM_006242
ENST00000400100,SNRPN,NM_022807
ENST00000400097,SNRPN,NM_022805
ENST00000400098,SNRPN,NM_022806
ENST00000400098,SNRPN,NM_022808
ENST00000487099,NR6A1,NM_001489
ENST00000487099,NR6A1,NM_033334
ENST00000487099,NR6A1,NM_001278546
ENST00000348616,CDH26,NM_177980
ENST00000350849,CDH26,NM_021810
ENST00000290691,RGL4,NM_153615
ENST00000372484,CTSA,NM_000308
ENST00000372484,CTSA,NM_001127695
ENST00000354880,CTSA,NM_001167594
ENST00000373580,OLFML2A,NM_182487
ENST00000288815,OLFML2A,NM_001282715
ENST00000399975,USP16,NM_001001992
ENST00000399976,USP16,NM_006447
ENST00000334352,USP16,NM_001032410
ENST00000269214,ESCO1,NM_052911
ENST00000382874,ZMYM2,NM_001190964
ENST00000382869,ZMYM2,NM_001190965
ENST00000382869,ZMYM2,NM_003453
ENST00000382869,ZMYM2,NM_197968
ENST00000260359,NUSAP1,NM_018454
ENST00000260359,NUSAP1,NM_001243142
ENST00000260359,NUSAP1,NM_016359
ENST00000260359,NUSAP1,NM_001243143
ENST00000450318,NUSAP1,NM_001243144
ENST00000360587,FBXL22,NM_203373
ENST00000373574,WDR38,NM_001045476
ENST00000373574,WDR38,NM_001276375
ENST00000373574,WDR38,NM_001276374
ENST00000364546,SNORA71B,NR_002910
ENST00000364729,SNORA71A,NR_002911
ENST00000364642,SNORA71C,NR_003017
ENST00000363484,SNORA71D,NR_003018
ENST00000349721,SMARCA2,NM_003070
ENST00000357248,SMARCA2,NM_139045
ENST00000348462,RPL35,NM_007209
ENST00000259477,ARPC5L,NM_030978
ENST00000313426,C20orf197,NM_173644
ENST00000365032,SNHG11,NR_002972
ENST00000341976,ZNF70,NM_021916
ENST00000300413,SNRPD1,NM_006938
ENST00000248948,VPREB3,NM_013378
ENST00000396444,USP8,NM_001128610
ENST00000396444,USP8,NM_005154
ENST00000425032,USP8,NM_001283049
ENST00000433963,USP8,NM_001128611
ENST00000360469,CDH4,NM_001794
ENST00000543233,CDH4,NM_001252339
ENST00000543233,CDH4,NM_001252338
ENST00000373555,GOLGA1,NM_002077
ENST00000402217,C22orf15,NM_182520
ENST00000310455,PPP1R3B,NM_024607
ENST00000310455,PPP1R3B,NM_001201329
ENST00000362396,SNORA60,NR_002986
ENST00000443617,HERC1,NM_003922
ENST00000289119,ABHD3,NM_138340
ENST00000401675,CHCHD10,NM_213720
ENST00000319441,PCK1,NM_002591
ENST00000241125,GJA3,NM_021954
ENST00000269445,DYM,NM_017653
ENST00000382848,GJB2,NM_004004
ENST00000394275,UNC45A,NM_001039675
ENST00000418476,UNC45A,NM_018671
ENST00000373669,PIN4,NM_006223
ENST00000423432,PIN4,NM_001170747
ENST00000215743,MMP11,NM_005940
ENST00000241124,GJB6,NM_006783
ENST00000400066,GJB6,NM_001110220
ENST00000400065,GJB6,NM_001110221
ENST00000356192,GJB6,NM_001110219
ENST00000336505,SCAI,NM_001144877
ENST00000373549,SCAI,NM_173690
ENST00000286788,CCT8,NM_006585
ENST00000542732,CCT8,NM_001282907
ENST00000540844,CCT8,NM_001282909
ENST00000338327,SNURF,NM_022804
ENST00000338094,SNURF,NM_005678
ENST00000338094,SNURF,NM_003097
ENST00000310430,TNKS,NM_003747
ENST00000252996,TAF4,NM_003185
ENST00000382100,VLDLR,NM_003383
ENST00000382099,VLDLR,NM_001018056
ENST00000334463,ERCC6L,NM_017669
ENST00000298248,CRYL1,NM_015974
ENST00000457488,DAPK2,NM_014326
ENST00000260361,NDUFAF1,NM_016013
ENST00000263121,SMARCB1,NM_003073
ENST00000407422,SMARCB1,NM_001007468
ENST00000316084,RPS4X,NM_001007
ENST00000579820,C18orf32,NM_001199346
ENST00000318240,C18orf32,NM_001035005
ENST00000245983,GNRH2,NM_001501
ENST00000359987,GNRH2,NM_178331
ENST00000359987,GNRH2,NM_178332
ENST00000373547,PPP6C,NM_002721
ENST00000451402,PPP6C,NM_001123355
ENST00000415905,PPP6C,NM_001123369
ENST00000389629,RTF1,NM_015138
ENST00000261537,MIB1,NM_020774
ENST00000371173,ZBP1,NM_001160417
ENST00000371173,ZBP1,NM_030776
ENST00000395822,ZBP1,NM_001160418
ENST00000541799,ZBP1,NM_001160419
ENST00000300030,FAM96A,NM_032231
ENST00000380290,FAM96A,NM_001014812
ENST00000406855,DERL3,NM_198440
ENST00000406855,DERL3,NM_001002862
ENST00000406855,DERL3,NM_001135751
ENST00000382082,KCNV2,NM_133497
ENST00000384344,RNU6-39P,NR_046495
ENST00000584895,RPL17-C18orf32,NM_001199355
ENST00000332968,RPL17-C18orf32,NM_001199356
ENST00000380325,MRPS26,NM_030811
ENST00000217386,OXT,NM_000915
ENST00000386745,SNORD83B,NR_000028
ENST00000386747,SNORD83A,NR_000027
ENST00000279068,LSM14B,NM_144703
ENST00000583861,SNORD43,NR_002439
ENST00000532404,USP50,NM_203494
ENST00000380293,AVP,NM_000490
ENST00000373538,RABEPK,NM_005833
ENST00000394125,RABEPK,NM_001174152
ENST00000259460,RABEPK,NM_001174153
ENST00000424479,PPAPDC1B,NM_001102559
ENST00000422581,PPAPDC1B,NM_032483
ENST00000419686,PPAPDC1B,NM_001102560
ENST00000247138,SLC35A2,NM_005660
ENST00000376529,SLC35A2,NM_001282647
ENST00000376521,SLC35A2,NM_001042498
ENST00000445167,SLC35A2,NM_001032289
ENST00000445167,SLC35A2,NM_001282648
ENST00000413561,SLC35A2,NM_001282649
ENST00000452555,SLC35A2,NM_001282651
ENST00000397885,KIAA0020,NM_014878
ENST00000351808,IFT88,NM_006531
ENST00000319980,IFT88,NM_175605
ENST00000324460,HSPA5,NM_005347
ENST00000419845,MAP3K7CL,NM_001286623
ENST00000341618,MAP3K7CL,NM_001286634
ENST00000399935,MAP3K7CL,NM_001286617
ENST00000399934,MAP3K7CL,NM_001286618
ENST00000399947,MAP3K7CL,NM_020152
ENST00000339024,MAP3K7CL,NM_001286619
ENST00000399928,MAP3K7CL,NM_001286620
ENST00000545939,MAP3K7CL,NM_001286622
ENST00000341744,PMEPA1,NM_020182
ENST00000395816,PMEPA1,NM_001255976
ENST00000347215,PMEPA1,NM_199170
ENST00000347215,PMEPA1,NM_199169
ENST00000265626,PMEPA1,NM_199171
ENST00000317173,MSRA,NM_012331
ENST00000441698,MSRA,NM_001135670
ENST00000528246,MSRA,NM_001199729
ENST00000382490,MSRA,NM_001135671
ENST00000304920,IL17D,NM_138284
ENST00000261889,SNX1,NM_001242933
ENST00000261889,SNX1,NM_003099
ENST00000561026,SNX1,NM_148955
ENST00000398356,SLC2A11,NM_001024938
ENST00000398356,SLC2A11,NM_030807
ENST00000316185,SLC2A11,NM_001024939
ENST00000313478,TRPM7,NM_017672
ENST00000405303,TAPT1,NM_153365
ENST00000382754,N6AMT2,NM_174928
ENST00000579248,RPL17,NM_001199341
ENST00000579248,RPL17,NM_001199342
ENST00000579248,RPL17,NM_001199344
ENST00000581373,RPL17,NM_001199345
ENST00000580261,RPL17,NM_001035006
ENST00000583637,RPL17,NM_001199343
ENST00000418495,RPL17,NM_000985
ENST00000418495,RPL17,NM_001199340
ENST00000376509,PIM2,NM_006875
ENST00000370873,PSMA7,NM_002792
ENST00000232165,UBE3A,NM_130839
ENST00000232165,UBE3A,NM_000462
ENST00000438097,UBE3A,NM_130838
ENST00000417663,C8orf59,NM_001099673
ENST00000417663,C8orf59,NM_001099672
ENST00000417663,C8orf59,NM_001099671
ENST00000417663,C8orf59,NM_001099670
ENST00000386307,SNORD12C,NR_002433
ENST00000410433,SNORD12B,NR_003695
ENST00000286800,BACH1,NM_001186
ENST00000399921,BACH1,NM_206866
ENST00000391002,SNORD12,NR_003030
ENST00000371168,C20orf85,NM_178456
ENST00000382004,RFX3,NM_134428
ENST00000382004,RFX3,NM_001282116
ENST00000302303,RFX3,NM_002919
ENST00000372420,PLTP,NM_001242921
ENST00000372431,PLTP,NM_006227
ENST00000354050,PLTP,NM_182676
ENST00000420868,PLTP,NM_001242920
ENST00000260386,ITPKA,NM_002220
ENST00000400602,XPO4,NM_022459
ENST00000371527,NKRF,NM_001173488
ENST00000304449,NKRF,NM_017544
ENST00000542113,NKRF,NM_001173487
ENST00000217173,UBOX5,NM_001267584
ENST00000217173,UBOX5,NM_014948
ENST00000348031,UBOX5,NM_199415
ENST00000156084,OTUD5,NM_017602
ENST00000428668,OTUD5,NM_001136159
ENST00000396743,OTUD5,NM_001136157
ENST00000396743,OTUD5,NM_001136158
ENST00000220592,AGO2,NM_012154
ENST00000519980,AGO2,NM_001164623
ENST00000438911,CYHR1,NM_138496
ENST00000403000,CYHR1,NM_032687
ENST00000424149,CYHR1,NM_001129888
ENST00000373619,CITED1,NM_001144886
ENST00000246139,CITED1,NM_004143
ENST00000431381,CITED1,NM_001144885
ENST00000445983,CITED1,NM_001144887
ENST00000362512,RNU12,NR_029422
ENST00000215754,MIF,NM_002415
ENST00000269216,GATA6,NM_005257
ENST00000380266,FASTKD5,NM_021826
ENST00000355166,LTK,NM_206961
ENST00000263800,LTK,NM_002344
ENST00000453182,LTK,NM_001135685
ENST00000290765,GSTT2B,NM_001080843
ENST00000329152,LZTS3,NM_014731
ENST00000360342,LZTS3,NM_001282533
ENST00000391403,CTAGE1,NM_172241
ENST00000324333,GLIS3,NM_152629
ENST00000381971,GLIS3,NM_001042413
ENST00000382592,LATS2,NM_014572
ENST00000215770,DDTL,NM_001084393
ENST00000328655,PRSS55,NM_198464
ENST00000522210,PRSS55,NM_001197020
ENST00000354488,DDRGK1,NM_023935
ENST00000398344,DDT,NM_001084392
ENST00000350608,DDT,NM_001355
ENST00000331758,SS18L1,NM_198935
ENST00000382533,SAP18,NM_005870
ENST00000273951,GC,NM_001204306
ENST00000273951,GC,NM_000583
ENST00000504199,GC,NM_001204307
ENST00000382483,RP1L1,NM_178857
ENST00000327822,BX072566.1,NM_001257362
ENST00000215780,GSTT2,NM_000854
ENST00000304519,C8orf74,NM_001040032
ENST00000389125,GRIK1,NM_175611
ENST00000399907,GRIK1,NM_000830
ENST00000380113,ITPA,NM_181493
ENST00000380113,ITPA,NM_033453
ENST00000399838,ITPA,NM_001267623
ENST00000394105,GAPVD1,NM_015635
ENST00000297933,GAPVD1,NM_001282680
ENST00000312123,GAPVD1,NM_001282681
ENST00000394104,GAPVD1,NM_001282679
ENST00000261292,LIPG,NM_006033
ENST00000400018,SKA3,NM_001166017
ENST00000314759,SKA3,NM_145061
ENST00000304501,SOX7,NM_031439
ENST00000262352,SLC1A1,NM_004170
ENST00000305626,RAB33B,NM_031296
ENST00000248935,GSTT1,NM_000853
ENST00000327155,RBBP8,NM_002894
ENST00000399722,RBBP8,NM_203291
ENST00000399725,RBBP8,NM_203292
ENST00000408532,SNORA11C,NR_003710
ENST00000261854,SPPL2A,NM_032802
ENST00000394272,HDDC3,NM_001286451
ENST00000330334,HDDC3,NM_198527
ENST00000244040,RAB22A,NM_020673
ENST00000317025,WHSC1L1,NM_023034
ENST00000316985,WHSC1L1,NM_017778
ENST00000325881,SNX22,NM_024798
ENST00000321764,CA13,NM_198584
ENST00000286808,CLDN17,NM_012131
ENST00000309594,MRP63,NM_024026
ENST00000314787,PINX1,NM_017884
ENST00000519088,PINX1,NM_001284356
ENST00000399899,CLDN8,NM_199328
ENST00000340345,KRTAP24-1,NM_001085455
ENST00000301332,KIFC2,NM_145754
ENST00000416044,KRTAP25-1,NM_001128598
ENST00000394258,RCCD1,NM_033544
ENST00000394258,RCCD1,NM_001017919
ENST00000360542,KRTAP26-1,NM_203405
ENST00000300026,PPIB,NM_000942
ENST00000382835,KRTAP27-1,NM_001077711
ENST00000334160,KRTAP23-1,NM_181624
ENST00000399889,KRTAP13-2,NM_181621
ENST00000274031,SETD7,NM_030648
ENST00000355459,KRTAP13-1,NM_181599
ENST00000390690,KRTAP13-3,NM_181622
ENST00000416569,XKR6,NM_173683
ENST00000334068,KRTAP13-4,NM_181600
ENST00000334067,KRTAP15-1,NM_181623
ENST00000304385,TMEM154,NM_152680
ENST00000382466,ZDHHC20,NM_153251
ENST00000542645,ZDHHC20,NM_001286638
ENST00000390689,KRTAP19-1,NM_181607
ENST00000334055,KRTAP19-2,NM_181608
ENST00000304330,RPAP1,NM_015540
